USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
720407,462,OCEAN COUNTY AIRPORT,US,NJ,KMJX,39.928,-74.292,25.0,2007-11-14,2025-08-26
720492,151,CALEDONIA COUNTY AIRPORT,US,VT,KCDA,44.567,-72.017,362.1,2009-01-01,2025-08-25
720493,54758,NEWPORT AP,US,VT,KEFK,44.883,-72.233,278.9,2009-01-01,2025-08-26
720494,152,FRANKLIN COUNTY STATE AIRPORT,US,VT,KFSO,44.933,-73.1,70.1,2008-04-01,2025-08-26
720581,178,LINDEN AIRPORT,US,NJ,KLDJ,40.617,-74.25,7.0,2017-01-01,2025-08-25
721028,99999,MIDDLEBURY STATE AIRPORT,US,VT,,43.985,-73.095,149.4,2012-02-27,2025-08-24
722247,54785,SOMERSET AIRPORT,US,NJ,KSMQ,40.624,-74.669,30.1,2006-01-01,2025-08-27
724070,93730,ATLANTIC CITY INTERNATIONAL AIRPORT,US,NJ,KACY,39.452,-74.567,17.8,1947-01-01,2025-08-26
724074,93780,SOUTH JERSEY REGIONAL ARPT,US,NJ,KVAY,39.941,-74.841,15.2,2006-01-01,2025-08-27
724075,13735,MILLVILLE MUNICIPAL ARPT,US,NJ,KMIV,39.366,-75.078,17.8,1973-01-01,2025-08-25
724077,54779,AEROFLEX-ANDOVER AIRPORT,US,NJ,K12N,41.009,-74.736,176.8,2006-01-01,2025-08-27
724084,54760,MONMOUTH EXECUTIVE AIRPORT,US,NJ,KBLM,40.187,-74.125,48.5,2006-01-01,2025-08-26
724090,14780,NAES/MAXFIELD FIELD,US,NJ,KNEL,40.033,-74.35,30.8,1973-01-01,2025-08-25
724094,54743,ESSEX COUNTY AIRPORT,US,NJ,KCDW,40.876,-74.283,52.0,2006-01-01,2025-08-27
724095,14792,TRENTON MERCER AIRPORT,US,NJ,KTTN,40.277,-74.816,57.9,1973-01-01,2025-08-27
724096,14706,MCGUIRE AFB AIRPORT,US,NJ,KWRI,40.017,-74.6,39.9,1942-08-01,2025-08-26
724097,54738,MORRISTOWN MUNICIPAL AIRPORT,US,NJ,KMMU,40.8,-74.417,57.0,2006-01-01,2025-08-26
725020,14734,NEWARK LIBERTY INTERNATIONAL AP,US,NJ,KEWR,40.683,-74.169,2.0,1973-01-01,2025-08-25
725025,94741,TETERBORO AIRPORT,US,NJ,KTEB,40.859,-74.056,0.8,1973-01-01,2025-08-27
725165,94737,RUTLAND STATE AIRPORT,US,VT,KRUT,43.533,-72.95,239.0,2006-01-01,2025-08-26
726114,54771,MORRISVILLE-STOWE ST ARPT,US,VT,KMVL,44.533,-72.615,224.3,2006-01-01,2025-08-27
726115,54740,HARTNESS ST (SPNGFLD) ARPT,US,VT,KVSF,43.342,-72.521,173.2,2006-01-01,2025-08-27
726140,54742,ST. JOHNSBURY(AMOS),US,VT,K1V4,44.42,-72.019,212.4,1973-01-01,2025-08-27
726145,94705,EDWARD F KNAPP STATE ARPT,US,VT,KMPV,44.205,-72.565,336.7,1973-01-01,2025-08-27
726166,54781,W. H. MORSE STATE AIRPORT,US,VT,KDDH,42.891,-73.247,251.8,2006-01-01,2025-08-27
726170,14742,BURLINGTON INTERNATIONAL AIRPORT,US,VT,KBTV,44.468,-73.15,101.1,1948-01-01,2025-08-27
740001,54793,SUSSEX AIRPORT,US,NJ,KFWN,41.199,-74.626,127.5,2006-01-01,2025-08-27
745966,3726,CAPE MAY COUNTY AIRPORT,US,NJ,KWWD,39.008,-74.908,7.0,2006-01-01,2025-08-26
997270,99999,ATLANTIC CITY,US,NJ,,39.35,-74.42,10.0,2008-01-01,2025-08-24
997743,99999,ROBBINS REEF,US,NJ,,40.65,-74.067,72.0,2008-01-01,2025-08-24
997779,99999,SHIP JOHN SHOAL,US,NJ,,39.3,-75.367,3.0,2008-01-01,2025-05-07
999999,425,MIDDLEBURY STATE AIRPORT,US,VT,,43.985,-73.095,149.1,2014-07-31,2025-08-25
999999,13724,ATLANTIC CITY MARINA,US,NJ,,39.378,-74.424,3.1,1948-01-01,2025-08-25
